Drug,SMILES,Mw,TPSA,WLOGP,LogP,Water soluble,Bioavailabillity score,Num Rot Bonds,Good
Favipiravir,NC(=O)c1nc(F)cnc1O,157.1,89.1,-0.16,-0.16,high,0.55,1,1
Remdesivir,CCC(COC(=O)[C@@H](NP(=O)(Oc1ccccc1)OC[C@H]1O[C@@]([C@@H]([C@@H]1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,162.58,213.36,2.21,1.57,moderate,0.17,14,1
Ribavirin Triphosphate,NC(=O)c1ncn([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)n1,484.14,312.74,-2.98,-4.17,high,0.11,9,1
Galidesivir,O[C@H]3[C@H](c2c1ncnc(N)c1[nH]c2)N[C@H](CO)[C@H]3O,265.27,140.31,-2.43,-1.51,high,0.55,2,1
analogue 1,[H][C@]1(O)CN(CC2=CNC3=C(N)N=CN=C23)C[C@]1([H])CSC,239.39,116.36,0.17,0.56,high,0.55,4,1
analogue 2,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OCCCCC)[C@@]1([H])O,250.29,99.38,-1.01,-0.22,high,0.55,6,0
analogue 3,[H][C@](C)(CO)C[C@]([H])(C)[C@]([H])(O)[C@@]([H])(C)C(=O)C[P@@]([H])(O)=O,266.27,118.3,0.67,0.84,high,0.55,8,0
analogue 4,CSC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,298.32,138.82,-1.16,-0.36,high,0.55,3,0
analogue 5,[H]N([H])C1=NC(=O)C2=C(N1[H])N(CN2C)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,539.22,317.19,-3.4,-4.32,high,0.11,8,1
analogue 6,CN1N=NC2=C(N=CN2C1=O)C(N)=O,194.15,108.17,-2.08,-0.84,high,0.55,1,1
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,376.36,161.56,-1.68,-0.19,high,0.55,5,1
Cyanidin,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,287.24,114.29,2.91,0.56,high,0.55,1,1
Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,270.24,90.9,2.58,2.04,moderate,0.55,1,1
Analogue 7,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CN(CC(O)O)CP(O)(O)=O,415.23,268.53,-4.71,-5.04,high,0.11,12,0
Analogue 8,[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])OC(=C[C@]([H])(O)[C@@]2([H])OS([O-])(=O)=O)C([O-])=O)[C@]([H])(O)[C@@]1([H])NS([O-])(=O)=O,494.38,301.16,-4.78,-4.6,high,0.11,8,0
Analogue 9,[H]\C(=C(\[H])C(=O)OC)C(=O)OC,144.13,52.6,-0.11,0.15,high,0.55,4,0
Analogue 10,N#C[C@]1(O[C@@H]([C@H]([C@H]1O)O)COP(=O)(Oc1ccccc1)NC)c1ccc2n1ncnc2N,460.38,187.06,0.47,-0.2,high,0.55,7,1
ATP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,507.18,308.56,-1.95,-3.8,high,0.11,8,1
Analogue 11,CCC(COC(=O)[C@@H](NP(=O)(OC[C@H]1O[C@@]([C@@H]([C@@H]1O)O)(C#N)c1ccc2n1ncnc2N)O)C)CC,526.48,224.36,0.13,-0.08,high,0.17,12,1
Analogue 12,OCCOCCOCCO,150.17,58.92,-1,-0.41,high,0.55,7,0
Pyrazinamide,NC(=O)C1=CN=CC=N1,123.11,68.87,-0.42,-0.37,high,0.55,1,1
Ribavirin,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,244.2,143.72,-3.34,-2.14,high,0.55,3,0
Alatrofloxacin,Fc1ccc(c(c1)F)n1cc(C(=O)O)c(=O)c2c1nc(N1C[C@@H]3[C@H](C1)C3N=C([C@@H](N=C([C@@H](N)C)O)C)O)c(c2)F,558.51,166.63,3.46,2.53,moderate,0.17,7,0
Alclofenac,C=CCOc1ccc(cc1Cl)CC(=O)O,226.66,46.53,2.53,2.46,moderate,0.56,5,0
Alosetron,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2,294.35,53.92,1.88,1.93,moderate,0.55,2,0
Amineptine,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12,337.46,49.33,4.17,3.66,poor,0.55,8,0
Aminopyrine,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,231.29,30.17,1.55,1.71,high,0.55,2,0
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.27,75.27,0.42,1.36,moderate,0.55,4,0
Anagestone acetate,C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCCC=C12,372.54,43.37,5.48,4.79,moderate,0.55,3,0
Antrafenine,FC(F)(F)C1=CC2=NC=CC(NC3=CC=CC=C3C(=O)OCCN3CCN(CC3)C3=CC(=CC=C3)C(F)(F)F)=C2C=C1,588.54,57.7,8.54,6.14,poor,0.17,10,0
